,GRID SIZE,NONE SECONDS,DATA INTEGRITY
TEST 1,1,20,VIOLATION
TEST 2,1,20,VIOLATION
TEST 3,1,21,VIOLATION
TEST 4,1,20,VIOLATION
TEST 5,1,20,VIOLATION
TEST 1,2,21,VIOLATION
TEST 2,2,20,VIOLATION
TEST 3,2,21,VIOLATION
TEST 4,2,20,VIOLATION
TEST 5,2,20,VIOLATION
TEST 1,3,20,VIOLATION
TEST 2,3,20,VIOLATION
TEST 3,3,20,VIOLATION
TEST 4,3,20,VIOLATION
TEST 5,3,20,VIOLATION
TEST 1,4,20,VIOLATION
TEST 2,4,20,VIOLATION
TEST 3,4,20,VIOLATION
TEST 4,4,20,VIOLATION
TEST 5,4,21,VIOLATION
TEST 1,5,20,VIOLATION
TEST 2,5,20,VIOLATION
TEST 3,5,21,VIOLATION
TEST 4,5,20,VIOLATION
TEST 5,5,20,VIOLATION
TEST 1,6,20,VIOLATION
TEST 2,6,21,VIOLATION
TEST 3,6,21,VIOLATION
TEST 4,6,21,VIOLATION
TEST 5,6,20,VIOLATION
TEST 1,7,20,VIOLATION
TEST 2,7,21,VIOLATION
TEST 3,7,20,VIOLATION
TEST 4,7,21,VIOLATION
TEST 5,7,21,VIOLATION
TEST 1,8,21,VIOLATION
TEST 2,8,21,VIOLATION
TEST 3,8,21,VIOLATION
TEST 4,8,20,VIOLATION
TEST 5,8,20,VIOLATION
TEST 1,9,20,VIOLATION
TEST 2,9,20,VIOLATION
TEST 3,9,20,VIOLATION
TEST 4,9,21,VIOLATION
TEST 5,9,21,VIOLATION
,,,
,GRID SIZE,ROW SECONDS,DATA INTEGRITY
TEST 1,1,212,MAINTAINED
TEST 2,1,200,MAINTAINED
TEST 3,1,207,MAINTAINED
TEST 4,1,197,MAINTAINED
TEST 5,1,204,MAINTAINED
TEST 1,2,163,MAINTAINED
TEST 2,2,155,MAINTAINED
TEST 3,2,159,MAINTAINED
TEST 4,2,159,MAINTAINED
TEST 5,2,174,MAINTAINED
TEST 1,3,135,MAINTAINED
TEST 2,3,145,MAINTAINED
TEST 3,3,144,MAINTAINED
TEST 4,3,134,MAINTAINED
TEST 5,3,131,MAINTAINED
TEST 1,4,121,MAINTAINED
TEST 2,4,115,MAINTAINED
TEST 3,4,110,MAINTAINED
TEST 4,4,125,MAINTAINED
TEST 5,4,119,MAINTAINED
TEST 1,5,94,MAINTAINED
TEST 2,5,98,MAINTAINED
TEST 3,5,106,MAINTAINED
TEST 4,5,106,MAINTAINED
TEST 5,5,102,MAINTAINED
TEST 1,6,95,MAINTAINED
TEST 2,6,93,MAINTAINED
TEST 3,6,92,MAINTAINED
TEST 4,6,105,MAINTAINED
TEST 5,6,95,MAINTAINED
TEST 1,7,91,MAINTAINED
TEST 2,7,93,MAINTAINED
TEST 3,7,87,MAINTAINED
TEST 4,7,94,MAINTAINED
TEST 5,7,87,MAINTAINED
TEST 1,8,86,MAINTAINED
TEST 2,8,76,MAINTAINED
TEST 3,8,79,MAINTAINED
TEST 4,8,82,MAINTAINED
TEST 5,8,80,MAINTAINED
TEST 1,9,69,MAINTAINED
TEST 2,9,70,MAINTAINED
TEST 3,9,73,MAINTAINED
TEST 4,9,73,MAINTAINED
TEST 5,9,67,MAINTAINED
,,,
,GRID SIZE,GRID SECONDS,DATA INTEGRITY
TEST 1,1,200,MAINTAINED
TEST 2,1,200,MAINTAINED
TEST 3,1,200,MAINTAINED
TEST 4,1,200,MAINTAINED
TEST 5,1,200,MAINTAINED
TEST 1,2,200,MAINTAINED
TEST 2,2,200,MAINTAINED
TEST 3,2,200,MAINTAINED
TEST 4,2,200,MAINTAINED
TEST 5,2,201,MAINTAINED
TEST 1,3,200,MAINTAINED
TEST 2,3,200,MAINTAINED
TEST 3,3,200,MAINTAINED
TEST 4,3,200,MAINTAINED
TEST 5,3,200,MAINTAINED
TEST 1,4,201,MAINTAINED
TEST 2,4,200,MAINTAINED
TEST 3,4,200,MAINTAINED
TEST 4,4,200,MAINTAINED
TEST 5,4,200,MAINTAINED
TEST 1,5,200,MAINTAINED
TEST 2,5,200,MAINTAINED
TEST 3,5,200,MAINTAINED
TEST 4,5,200,MAINTAINED
TEST 5,5,201,MAINTAINED
TEST 1,6,200,MAINTAINED
TEST 2,6,200,MAINTAINED
TEST 3,6,200,MAINTAINED
TEST 4,6,201,MAINTAINED
TEST 5,6,201,MAINTAINED
TEST 1,7,201,MAINTAINED
TEST 2,7,201,MAINTAINED
TEST 3,7,200,MAINTAINED
TEST 4,7,201,MAINTAINED
TEST 5,7,200,MAINTAINED
TEST 1,8,200,MAINTAINED
TEST 2,8,200,MAINTAINED
TEST 3,8,200,MAINTAINED
TEST 4,8,200,MAINTAINED
TEST 5,8,201,MAINTAINED
TEST 1,9,200,MAINTAINED
TEST 2,9,200,MAINTAINED
TEST 3,9,200,MAINTAINED
TEST 4,9,200,MAINTAINED
TEST 5,9,200,MAINTAINED
,,,
,GRID SIZE,CELL SECONDS,DATA INTEGRITY
TEST 1,1,143,MAINTAINED
TEST 2,1,137,MAINTAINED
TEST 3,1,133,MAINTAINED
TEST 4,1,138,MAINTAINED
TEST 5,1,132,MAINTAINED
TEST 1,2,86,MAINTAINED
TEST 2,2,80,MAINTAINED
TEST 3,2,84,MAINTAINED
TEST 4,2,79,MAINTAINED
TEST 5,2,80,MAINTAINED
TEST 1,3,66,MAINTAINED
TEST 2,3,56,MAINTAINED
TEST 3,3,55,MAINTAINED
TEST 4,3,53,MAINTAINED
TEST 5,3,57,MAINTAINED
TEST 1,4,45,MAINTAINED
TEST 2,4,44,MAINTAINED
TEST 3,4,44,MAINTAINED
TEST 4,4,47,MAINTAINED
TEST 5,4,44,MAINTAINED
TEST 1,5,35,MAINTAINED
TEST 2,5,38,MAINTAINED
TEST 3,5,37,MAINTAINED
TEST 4,5,38,MAINTAINED
TEST 5,5,35,MAINTAINED
TEST 1,6,33,MAINTAINED
TEST 2,6,32,MAINTAINED
TEST 3,6,32,MAINTAINED
TEST 4,6,32,MAINTAINED
TEST 5,6,39,MAINTAINED
TEST 1,7,29,MAINTAINED
TEST 2,7,33,MAINTAINED
TEST 3,7,32,MAINTAINED
TEST 4,7,34,MAINTAINED
TEST 5,7,31,MAINTAINED
TEST 1,8,29,MAINTAINED
TEST 2,8,30,MAINTAINED
TEST 3,8,28,MAINTAINED
TEST 4,8,29,MAINTAINED
TEST 5,8,31,MAINTAINED
TEST 1,9,28,MAINTAINED
TEST 2,9,30,MAINTAINED
TEST 3,9,26,MAINTAINED
TEST 4,9,25,MAINTAINED
TEST 5,9,25,MAINTAINED
,,,
