,THREAD #,NONE SECONDS,DATA INTEGRITY
TEST 1,1,20,MAINTAINED
TEST 2,1,20,MAINTAINED
TEST 3,1,20,MAINTAINED
TEST 4,1,20,MAINTAINED
TEST 5,1,20,MAINTAINED
TEST 1,2,20,VIOLATION
TEST 2,2,20,VIOLATION
TEST 3,2,20,VIOLATION
TEST 4,2,20,VIOLATION
TEST 5,2,20,VIOLATION
TEST 1,3,20,VIOLATION
TEST 2,3,20,VIOLATION
TEST 3,3,20,VIOLATION
TEST 4,3,20,VIOLATION
TEST 5,3,20,VIOLATION
TEST 1,4,20,VIOLATION
TEST 2,4,20,VIOLATION
TEST 3,4,20,VIOLATION
TEST 4,4,20,VIOLATION
TEST 5,4,20,VIOLATION
TEST 1,5,20,VIOLATION
TEST 2,5,20,VIOLATION
TEST 3,5,20,VIOLATION
TEST 4,5,20,VIOLATION
TEST 5,5,21,VIOLATION
TEST 1,6,20,VIOLATION
TEST 2,6,20,VIOLATION
TEST 3,6,20,VIOLATION
TEST 4,6,20,VIOLATION
TEST 5,6,20,VIOLATION
TEST 1,7,20,VIOLATION
TEST 2,7,20,VIOLATION
TEST 3,7,20,VIOLATION
TEST 4,7,20,VIOLATION
TEST 5,7,20,VIOLATION
TEST 1,8,20,VIOLATION
TEST 2,8,20,VIOLATION
TEST 3,8,20,VIOLATION
TEST 4,8,20,VIOLATION
TEST 5,8,20,VIOLATION
TEST 1,9,20,VIOLATION
TEST 2,9,20,VIOLATION
TEST 3,9,21,VIOLATION
TEST 4,9,20,VIOLATION
TEST 5,9,20,VIOLATION
TEST 1,10,20,VIOLATION
TEST 2,10,21,VIOLATION
TEST 3,10,20,VIOLATION
TEST 4,10,20,VIOLATION
TEST 5,10,20,VIOLATION
,,,
,THREAD #,ROW SECONDS,DATA INTEGRITY
TEST 1,1,200,MAINTAINED
TEST 2,1,200,MAINTAINED
TEST 3,1,200,MAINTAINED
TEST 4,1,200,MAINTAINED
TEST 5,1,200,MAINTAINED
TEST 1,2,210,MAINTAINED
TEST 2,2,204,MAINTAINED
TEST 3,2,198,MAINTAINED
TEST 4,2,219,MAINTAINED
TEST 5,2,206,MAINTAINED
TEST 1,3,163,MAINTAINED
TEST 2,3,182,MAINTAINED
TEST 3,3,169,MAINTAINED
TEST 4,3,165,MAINTAINED
TEST 5,3,170,MAINTAINED
TEST 1,4,136,MAINTAINED
TEST 2,4,142,MAINTAINED
TEST 3,4,147,MAINTAINED
TEST 4,4,138,MAINTAINED
TEST 5,4,135,MAINTAINED
TEST 1,5,107,MAINTAINED
